DIRECTORIO;SECUENCIA_P;SECUENCIA_ENCUESTA;P3053;P3095;P3096;P3097;P3098;P3054;P3055;P469;CLASE_TE;COD_DEPTO;AREA;F_EXP
5324217;1;1;1;1;;;;1;1;1;1;50;50;21.957074945923800
5324220;1;1;4;;;;1;;;;1;50;50;18.496867793312500
5324222;1;1;4;;;;1;;;;1;50;50;22.597945088498700
5324238;1;2;3;;;1;;;;;1;23;23;12.209536708374900
5324238;1;3;3;;;2;;;;;1;23;23;12.209536708374900
5324240;1;1;5;;;;;1;1;1;1;23;23;18.973386744633100
5324242;1;1;1;1;;;;1;1;1;1;50;50;21.564546815864000
5324252;1;1;2;;2;;;1;4;1;1;50;50;27.225100052446400
5324253;1;1;4;;;;2;1;;1;1;41;41;15.413383259319500
5324257;1;1;5;;;;;1;1;1;1;41;41;20.293261139020500
5324265;1;2;3;;;1;;;;;1;23;23;8.522514320816910
5324268;1;2;1;2;;;;1;4;1;1;23;23;33.186565446500400
5324269;1;1;1;2;;;;1;3;1;1;23;23;28.018386536351200
5324270;1;5;3;;;1;;;;;1;23;23;8.522514320816910
5324279;1;1;2;;3;;;1;1;1;1;52;52;7.473611877837120
5324286;1;2;5;;;;;1;1;1;1;63;63;14.505315857552000
5324295;1;1;1;2;;;;1;1;1;1;18;18;9.163786844841750
5324300;1;4;5;;;;;1;1;1;1;63;63;11.407204395971400
5324301;1;3;6;;;;;;;;1;63;63;12.353243476473700
5324305;1;1;5;;;;;1;1;1;1;63;63;11.226221012128200
5324306;1;1;1;2;;;;1;1;2;1;63;63;11.862797974109000
5324306;1;3;2;;1;;;1;3;1;1;63;63;11.862797974109000
5324307;1;1;2;;1;;;1;3;1;1;63;63;13.182569223788900
5324309;1;1;4;;;;2;1;;1;1;15;15;9.087047052842910
5324321;1;2;1;2;;;;1;4;2;1;05;05;105.474810168213000
5324324;1;2;3;;;1;;;;;1;63;63;13.376343227499600
5324328;1;4;4;;;;1;;;;1;23;23;8.522514320816910
5324329;1;3;1;2;;;;1;1;1;1;23;23;27.804840698335900
5324337;1;1;1;2;;;;1;1;1;1;05;05;107.263953749903000
5324344;1;1;2;;1;;;1;3;1;1;15;15;8.259836354596740
5324348;1;1;2;;1;;;1;3;1;1;63;63;11.452896774359200
5324357;1;1;1;2;;;;1;1;2;1;08;08;64.923218450601200
5324360;1;1;1;2;;;;1;3;1;1;08;08;59.307199757541800
5324361;1;1;1;2;;;;1;1;2;1;08;08;75.290242813589400
5324362;1;2;1;2;;;;1;1;2;1;08;08;42.298487571648400
5324364;1;1;1;1;;;;1;1;1;1;08;08;57.354955628350300
5324365;1;2;1;2;;;;1;1;2;1;08;08;54.371309155895600
5324367;1;1;1;1;;;;1;4;1;1;08;08;62.429294105929700
5324369;1;1;1;1;;;;1;4;1;1;08;08;60.905214222764600
5324370;1;1;5;;;;;1;1;1;1;08;08;58.592432233377500
5324371;1;4;5;;;;;1;2;1;1;08;08;39.056216416006800
5324387;1;1;1;2;;;;1;4;1;1;23;23;34.090057283267500
5324389;1;1;3;;;1;;;;;1;23;23;34.090057283267500
5324390;1;2;3;;;1;;;;;1;23;23;8.522514320816910
5324391;1;1;4;;;;2;1;;1;1;23;23;8.522514320816910
5324398;1;1;4;;;;1;;;;1;47;47;15.157811074134900
5324401;1;2;1;2;;;;1;4;2;1;47;47;13.081144854929500
5324402;1;3;3;;;1;;;;;1;47;47;13.597434993332900
5324406;1;1;2;;3;;;1;4;1;1;52;52;18.251183583213300
5324410;1;1;2;;2;;;1;3;1;1;52;52;20.746295905133500
5324415;1;3;1;2;;;;1;1;2;1;27;27;3.352894218287750
5324416;1;2;6;;;;;;;;1;27;27;8.661665248430080
5324437;1;1;5;;;;;1;1;1;1;52;52;13.522925366979500
5324440;1;1;5;;;;;1;3;1;1;52;52;13.127212911964400
5324440;1;2;8;;;;;;;;1;52;52;13.127212911964400
5324440;1;3;5;;;;;1;1;1;1;52;52;13.127212911964400
5324441;1;1;4;;;;2;1;;1;1;52;52;13.923033408085500
5324442;1;1;8;;;;;;;;1;52;52;26.154582396146200
5324443;1;2;2;;1;;;1;3;1;1;52;52;8.542856273695080
5324444;1;1;1;1;;;;1;4;1;1;52;52;5.152422726874910
5324447;1;1;2;;1;;;1;3;1;1;52;52;27.608156419311000
5324454;1;2;1;2;;;;1;1;1;1;54;54;36.491481853516100
5324456;1;1;1;2;;;;1;1;1;1;47;47;12.495968469903600
5324457;1;2;4;;;;1;;;;1;47;47;16.412905391105500
5324458;1;1;3;;;1;;;;;1;47;47;15.744857395453900
5324461;1;2;1;1;;;;1;1;2;1;70;70;8.719496556073410
5324462;1;1;1;2;;;;1;1;2;1;70;70;10.798863004218600
5324464;1;1;5;;;;;1;1;1;1;68;68;48.603018654801400
5324465;1;1;1;2;;;;1;1;2;1;47;47;12.059150370519000
5324498;1;2;1;1;;;;1;1;1;1;27;27;3.793626199959860
5324503;1;2;3;;;1;;;;;1;08;;115.034309346053000
5324505;1;2;1;2;;;;1;1;2;1;08;;121.634809981708000
5324506;1;1;1;2;;;;1;3;1;1;08;;66.187633432981600
5324508;1;1;1;2;;;;1;3;2;1;08;;122.394379100082000
5324508;1;3;5;;;;;1;3;1;1;08;;122.394379100082000
5324511;1;1;5;;;;;1;1;1;1;08;;126.247925401717000
5324511;1;2;1;2;;;;1;1;2;1;08;;126.247925401717000
5324512;1;2;1;2;;;;1;1;2;1;23;23;8.522514320816910
5324514;1;1;1;2;;;;1;1;2;1;08;;118.897775443461000
5324517;1;4;1;2;;;;1;5;1;1;08;;50.419045873783100
5324517;1;5;5;;;;;1;3;2;1;08;;50.419045873783100
5324518;1;1;1;2;;;;1;3;2;1;08;;111.938082477884000
5324519;1;1;1;2;;;;1;1;2;1;08;;113.502064046224000
5324521;1;3;2;;1;;;1;3;1;1;17;17;26.193348247457000
5324522;1;1;1;2;;;;1;1;1;1;08;;121.634809981708000
5324526;1;3;3;;;1;;;;;1;17;17;18.490322554010200
5324531;1;1;1;2;;;;1;1;2;1;08;;98.616022250690000
5324532;1;1;3;;;1;;;;;1;08;;108.443148474751000
5324534;1;1;1;2;;;;1;5;2;1;08;;94.200384633935800
5324547;1;1;5;;;;;1;1;1;1;08;;67.137901923908100
5324547;1;2;1;2;;;;1;1;2;1;08;;67.137901923908100
5324550;1;1;1;1;;;;1;1;2;1;08;;98.616022250690000
5324550;1;2;1;2;;;;1;1;2;1;08;;98.616022250690000
5324551;1;2;1;2;;;;1;1;2;1;08;;106.620459581506000
5324554;1;1;1;2;;;;1;1;2;1;08;;53.172984204077100
5324554;1;3;1;2;;;;1;5;2;1;08;;53.172984204077100
5324554;1;5;1;2;;;;1;5;2;1;08;;53.172984204077100
5324555;1;2;1;2;;;;1;1;2;1;08;;91.152440977070000
5324555;1;3;1;2;;;;1;3;2;1;08;;91.152440977070000
5324556;1;2;1;2;;;;1;1;2;1;08;;64.869412879198700
5324561;1;1;6;;;;;;;;1;08;;74.587796103028000
5324565;1;1;7;;;;;1;5;1;2;08;;454.621114116773000
5324571;1;1;4;;;;1;;;;1;05;05;95.060291335431600
5324571;1;3;3;;;1;;;;;1;05;05;95.060291335431600
5324574;1;1;1;1;;;;1;1;2;1;05;05;100.475136491804000
5324574;1;2;3;;;1;;;;;1;05;05;100.475136491804000
5324588;1;1;2;;1;;;1;3;1;1;05;05;95.862170528909100
5324588;1;2;2;;1;;;1;3;1;1;05;05;95.862170528909100
5324589;1;3;2;;1;;;1;3;1;1;05;05;61.458337836287700
5324590;1;2;2;;1;;;1;3;1;1;05;05;93.777952977268300
5324590;1;3;2;;1;;;1;3;1;1;05;05;93.777952977268300
5324595;1;1;1;1;;;;1;3;1;1;05;05;120.687786526531000
5324601;1;2;1;1;;;;1;1;1;1;05;05;106.758333713626000
5324602;1;1;5;;;;;1;1;1;1;05;05;125.994312770549000
5324612;1;1;5;;;;;1;2;1;1;73;73;28.047470273773900
5324614;1;1;3;;;1;;;;;1;73;73;36.485980931479200
5324619;1;3;1;2;;;;1;4;2;1;73;73;23.203593610653700
5324623;1;2;1;2;;;;1;4;2;1;73;73;16.658346108739700
5324625;1;2;1;2;;;;1;1;2;1;08;;113.916127929176000
5324627;1;1;1;2;;;;1;1;2;1;08;;91.475208723348300
5324627;1;2;1;2;;;;1;5;2;1;08;;91.475208723348300
5324628;1;1;1;2;;;;1;1;2;1;08;;116.819985771305000
5324628;1;2;1;2;;;;1;5;2;1;08;;116.819985771305000
5324631;1;1;1;2;;;;1;1;2;1;08;;50.419045873783100
5324631;1;3;1;2;;;;1;5;2;1;08;;50.419045873783100
5324631;1;7;1;2;;;;1;5;2;1;08;;50.419045873783100
5324632;1;1;1;2;;;;1;5;2;1;08;;124.752692569882000
5324634;1;1;1;2;;;;1;1;1;1;08;;115.020622251552000
5324636;1;3;1;2;;;;1;5;2;1;08;;102.979268372429000
5324638;1;1;1;2;;;;1;1;2;1;08;;142.366770124295000
5324639;1;1;5;;;;;1;1;1;1;08;;122.103935506665000
5324645;1;2;1;1;;;;1;1;2;1;08;;111.357775322470000
5324649;1;1;1;2;;;;1;1;2;1;08;;108.633847847304000
5324650;1;1;3;;;1;;;;;1;08;;99.205908216891700
5324653;1;2;7;;;;;1;4;1;1;08;;88.897639026860800
5324658;1;2;1;2;;;;1;1;2;2;08;;458.098885099508000
5324668;1;1;7;;;;;1;1;2;2;08;;436.444144179539000
5324673;1;1;1;1;;;;1;1;2;1;52;52;31.890271659799000
5324677;1;1;5;;;;;1;3;1;1;52;52;22.144847230942500
5324680;1;1;1;1;;;;1;3;2;1;52;52;36.184345498416200
5324681;1;1;1;2;;;;1;4;2;1;52;52;17.223450394086800
5324683;1;1;2;;3;;;1;1;1;1;15;15;8.049438995915050
5324684;1;1;3;;;1;;;;;1;52;52;35.633394111629300
5324686;1;1;1;2;;;;1;1;1;1;50;50;33.534010107802500
5324688;1;1;2;;2;;;1;3;1;1;50;50;25.850988927198000
5324692;1;2;1;2;;;;1;3;2;1;08;;120.785714952882000
5324723;1;1;2;;1;;;1;3;1;1;17;17;25.398895438247000
5324734;1;1;3;;;1;;;;;1;08;;68.456122477690900
5324734;1;2;1;2;;;;1;3;1;1;08;;68.456122477690900
5324735;1;1;1;2;;;;1;5;2;1;08;;127.007494520091000
5324736;1;2;1;2;;;;1;1;2;1;08;;71.269874377947500
5324737;1;1;3;;;1;;;;;1;08;;120.316589427925000
5324737;1;2;1;2;;;;1;1;2;1;08;;120.316589427925000
5324738;1;1;7;;;;;1;4;2;1;08;;125.400201511740000
5324738;1;4;1;2;;;;1;5;1;1;08;;125.400201511740000
5324739;1;1;7;;;;;1;1;2;1;08;;98.616022250690000
5324739;1;2;1;2;;;;1;1;2;1;08;;98.616022250690000
5324740;1;2;1;2;;;;1;5;2;1;08;;95.642225477255000
5324740;1;3;1;2;;;;1;5;1;1;08;;95.642225477255000
5324741;1;1;7;;;;;1;3;2;1;08;;78.061074386155300
5324741;1;2;1;2;;;;1;5;2;1;08;;78.061074386155300
5324742;1;1;1;2;;;;1;1;1;1;08;;50.419045873783100
5324742;1;3;5;;;;;1;1;1;1;08;;50.419045873783100
5324744;1;1;3;;;1;;;;;1;08;;110.421193926044000
5324745;1;3;1;2;;;;1;1;2;1;08;;50.419045873783100
5324745;1;4;1;2;;;;1;1;1;1;08;;50.419045873783100
5324745;1;6;5;;;;;1;3;1;1;08;;50.419045873783100
5324747;1;1;2;;1;;;1;3;1;1;08;;128.516414446426000
5324749;1;2;1;2;;;;1;1;1;1;08;;119.847463902968000
5324750;1;2;1;2;;;;1;1;2;1;08;;123.220447270053000
5324752;1;2;3;;;1;;;;;2;08;;458.098885099508000
5324754;1;2;7;;;;;1;5;1;1;08;;115.034309346053000
5324755;1;1;1;2;;;;1;1;2;1;08;;98.616022250690000
5324755;1;2;7;;;;;1;3;2;1;08;;98.616022250690000
5324756;1;4;1;1;;;;1;1;1;1;08;;82.306478155559600
5324758;1;3;2;;1;;;1;5;1;2;08;;492.311411422934000
5324759;2;1;2;;1;;;1;3;1;1;68;68;79.213934231111000
5324760;1;1;3;;;1;;;;;1;76;;123.721167390405000
5324760;1;2;1;2;;;;1;4;2;1;76;;123.721167390405000
5324761;1;2;2;;1;;;1;3;1;1;76;;123.721167390405000
5324762;1;3;1;1;;;;1;4;2;2;76;;771.021938117051000
5324765;1;2;1;2;;;;1;1;1;2;76;;899.516793634000000
5324775;1;1;4;;;;1;;;;1;19;19;11.178421330155500
5324780;1;1;2;;1;;;1;1;1;1;19;19;17.223483576465800
5324781;1;1;2;;1;;;1;1;1;1;19;19;10.674772630890500
5324782;1;2;1;1;;;;1;3;2;1;41;41;12.130301654361700
5324793;1;2;1;1;;;;1;1;2;1;41;41;15.186007473035700
5324809;1;2;3;;;2;;;;;1;17;17;18.988383203248500
5324818;1;1;1;1;;;;1;1;1;1;63;63;12.494069208391900
5324823;1;1;1;2;;;;1;4;1;1;63;63;12.966458094927700
5324830;1;1;4;;;;1;;;;1;63;63;12.966442027749900
5324831;1;1;5;;;;;1;1;1;1;63;63;11.669007903220400
5324839;1;1;1;1;;;;1;4;2;1;54;54;21.910872769655500
5324840;1;3;5;;;;;1;1;1;1;54;54;34.215499115772000
5324840;1;4;2;;3;;;1;4;2;1;54;54;34.215499115772000
5324842;1;2;3;;;1;;;;;2;52;;297.736833437269000
5324852;1;2;4;;;;1;;;;1;73;73;24.297557152605900
5324853;1;2;1;2;;;;1;6;2;1;73;73;12.392487567082400
5324854;1;1;2;;1;;;1;3;1;1;73;73;37.305383546259000
5324857;1;2;3;;;1;;;;;1;73;73;23.203593610653700
5324862;1;1;1;2;;;;1;3;2;1;76;76;100.583674807115000
5324871;1;1;2;;1;;;1;4;1;1;23;23;28.645522011100500
5324874;1;1;1;2;;;;1;4;2;1;23;23;32.724027742729000
5324875;2;1;2;;4;;;1;3;1;1;23;23;14.735456291251500
5324876;1;1;1;2;;;;1;3;1;1;23;23;34.090057283267500
5324878;1;1;1;2;;;;1;1;2;1;44;44;5.287447436963140
5324878;1;2;2;;1;;;1;4;1;1;44;44;5.287447436963140
5324880;1;1;8;;;;;;;;1;44;44;6.352952454807610
5324885;1;1;1;1;;;;1;3;2;1;44;44;4.644516571009040
5324885;1;2;1;1;;;;1;3;2;1;44;44;4.644516571009040
5324888;1;1;1;1;;;;1;1;1;1;44;44;6.742063507269590
5324891;1;1;7;;;;;1;4;2;1;44;44;4.125197230843560
5324905;1;1;1;1;;;;1;4;2;1;44;44;4.357554936376960
5324906;1;2;2;;2;;;1;3;1;1;44;44;5.840172093376160
5324911;1;1;4;;;;1;;;;1;18;18;8.715298631194160
5324912;1;2;3;;;1;;;;;1;18;18;3.556160964105670
5324912;1;5;4;;;;1;;;;1;18;18;3.556160964105670
5324918;1;1;5;;;;;1;1;2;1;18;18;17.430597262388400
5324921;1;1;4;;;;1;;;;1;47;47;14.057390246218800
5324921;1;3;4;;;;1;;;;1;47;47;14.057390246218800
5324923;1;2;1;2;;;;1;1;1;1;47;47;13.449393192887800
5324926;1;1;4;;;;1;;;;1;47;47;12.421191349125800
5324926;1;5;5;;;;;1;3;1;1;47;47;12.421191349125800
5324928;1;1;2;;1;;;1;3;1;1;47;47;14.117441188539400
5324928;1;2;3;;;1;;;;;1;47;47;14.117441188539400
5324935;1;3;3;;;1;;;;;1;47;47;13.405502344371600
5324936;1;1;2;;2;;;1;3;1;1;47;47;15.817764579938600
5324940;1;1;1;2;;;;1;1;1;1;73;73;22.109630068701600
5324941;1;2;2;;1;;;1;3;1;1;73;73;29.613512946262900
5324943;1;1;1;1;;;;1;3;2;1;73;73;44.670513979847800
5324953;1;1;1;2;;;;1;1;2;1;08;08;33.778801370298100
5324970;1;1;1;1;;;;1;3;1;1;66;66;31.413079381623700
5324971;1;2;1;1;;;;1;3;1;1;66;66;34.940832874492100
5324977;1;1;3;;;1;;;;;1;66;66;29.956052633943500
5324978;1;1;4;;;;2;1;;1;1;66;66;25.745483137124600
5324980;1;1;1;1;;;;1;2;1;1;66;66;30.048918559962500
5324980;1;2;2;;1;;;1;4;1;1;66;66;30.048918559962500
5324982;1;3;1;2;;;;1;3;2;1;66;66;29.174977625771600
5324988;1;1;1;1;;;;1;1;1;1;66;66;26.235094853254600
5324990;1;1;2;;3;;;1;1;1;1;66;66;25.537624637984500
5325002;1;1;1;2;;;;1;1;1;1;47;47;14.629286059822500
5325009;1;1;1;1;;;;1;3;1;1;20;20;19.215340053717600
5325010;1;5;3;;;1;;;;;1;20;20;12.860910948722500
5325011;1;2;5;;;;;1;2;1;1;20;20;16.296373958774400
5325013;1;1;3;;;2;;;;;1;76;76;79.584583379218400
5325013;1;2;3;;;1;;;;;1;76;76;79.584583379218400
5325015;1;1;5;;;;;1;3;1;2;47;;222.396819238175000
5325030;1;2;1;2;;;;1;3;1;1;68;68;51.192012886628300
5325031;1;2;3;;;2;;;;;1;68;68;15.378387108989600
5325031;1;4;1;2;;;;1;3;2;1;68;68;15.378387108989600
5325036;1;1;1;1;;;;1;1;1;1;50;50;11.048361783385100
5325045;1;1;1;2;;;;1;3;1;1;50;50;18.461193010222100
5325046;1;3;6;;;;;;;;1;50;50;30.195023283114400
5325046;2;2;3;;;1;;;;;1;50;50;30.195023283114400
5325046;3;1;4;;;;1;;;;1;50;50;30.195023283114400
5325055;1;2;1;1;;;;1;1;1;1;05;05;104.636287938765000
5325060;1;1;5;;;;;1;3;1;1;05;05;98.353090716942500
5325061;1;1;8;;;;;;;;1;05;05;125.155790541100000
5325094;1;1;2;;1;;;1;3;1;1;68;68;57.092457545346400
5325114;1;2;2;;1;;;1;3;1;1;68;68;44.217056160435900
5325120;1;1;3;;;1;;;;;1;11;11;395.273868679660000
5325121;1;1;3;;;1;;;;;1;11;11;269.198674734390000
5325126;1;1;3;;;1;;;;;1;11;11;269.198674734390000
5325131;1;3;3;;;2;;;;;1;11;11;276.567710861358000
5325134;1;2;1;2;;;;1;4;1;1;23;23;34.090057283267500
5325134;2;2;5;;;;;1;3;1;1;23;23;34.090057283267500
5325135;1;1;3;;;1;;;;;1;23;23;8.522514320816910
5325136;1;1;2;;2;;;1;3;1;1;23;23;8.522514320816910
5325136;1;8;4;;;;2;1;;1;1;23;23;8.522514320816910
5325137;1;1;3;;;2;;;;;1;23;23;28.645522011100500
5325138;1;2;2;;1;;;1;4;1;1;23;23;16.288042440003300
5325140;1;3;5;;;;;1;1;2;1;23;23;8.522514320816910
5325141;1;1;4;;;;1;;;;1;23;23;14.818522650174700
5325145;1;1;4;;;;1;;;;1;50;50;17.056510605325100
5325153;1;2;1;2;;;;1;3;2;1;05;05;92.069893495120000
5325154;1;4;3;;;1;;;;;1;05;05;91.703250016691600
5325156;1;1;5;;;;;1;1;1;1;05;05;91.488310712373300
5325157;1;1;5;;;;;1;1;1;1;05;05;110.819366499968000
5325158;1;1;3;;;1;;;;;1;05;05;98.142789282219100
5325159;1;4;5;;;;;1;1;1;1;05;05;75.390076893488200
5325160;1;1;1;2;;;;1;3;1;1;05;05;99.432864421187500
5325162;1;1;1;2;;;;1;4;1;1;23;23;12.162229692678400
5325164;1;3;5;;;;;1;1;1;1;23;23;8.522514320816910
5325164;1;4;1;2;;;;1;4;1;1;23;23;8.522514320816910
5325169;1;2;2;;2;;;1;1;1;1;23;23;8.522514320816910
5325169;1;3;3;;;1;;;;;1;23;23;8.522514320816910
5325171;1;1;1;2;;;;1;1;2;1;23;23;26.121713119518200
5325172;1;1;1;2;;;;1;1;1;1;23;23;34.090057283267500
5325178;1;3;4;;;;1;;;;1;05;05;80.759744017689400
5325185;1;1;2;;2;;;1;3;1;1;41;41;13.653200859124600
5325189;1;1;1;1;;;;1;3;2;1;41;41;8.139682092474240
5325196;1;1;1;2;;;;1;4;1;1;41;41;8.139682092474240
5325196;1;2;4;;;;1;;;;1;41;41;8.139682092474240
5325202;1;2;2;;3;;;1;3;1;1;41;41;4.069841046237120
5325205;1;3;4;;;;1;;;;1;41;41;19.665384808509000
5325215;1;1;4;;;;1;;;;1;41;41;29.450616640381000
5325234;1;1;5;;;;;1;1;1;1;11;11;395.273868679660000
5325235;1;1;5;;;;;1;1;1;1;11;11;322.559782347830000
5325236;1;2;4;;;;1;;;;1;11;11;266.663012387578000
5325236;1;3;4;;;;1;;;;1;11;11;266.663012387578000
5325242;1;1;1;2;;;;1;3;2;1;76;;240.447032846168000
5325246;1;1;2;;1;;;1;3;1;1;76;;204.067041219286000
5325247;1;1;5;;;;;1;4;1;1;73;73;12.340024659742100
5325248;1;1;4;;;;1;;;;1;73;73;19.355969208138600
5325257;1;1;3;;;1;;;;;1;73;73;27.814582866784500
5325259;1;2;3;;;1;;;;;1;73;73;19.647663757263000
5325278;1;2;1;1;;;;1;1;2;1;41;41;14.256285605812700
5325280;1;1;3;;;1;;;;;1;41;41;23.348646073061900
5325283;1;1;1;2;;;;1;3;2;1;41;41;14.256285605812700
5325283;1;2;1;1;;;;1;1;2;1;41;41;14.256285605812700
5325285;1;1;2;;4;;;1;3;1;1;41;41;11.551653960576900
5325286;1;1;7;;;;;1;1;1;1;41;41;26.427723715718800
5325313;1;4;5;;;;;1;1;1;1;54;54;33.643777646649200
5325335;1;2;1;2;;;;1;1;2;1;68;68;62.957588149192000
5325338;1;1;1;1;;;;1;3;2;1;68;68;64.682368704843400
5325346;1;1;4;;;;1;;;;1;70;70;6.353367731788560
5325346;1;2;3;;;1;;;;;1;70;70;6.353367731788560
5325347;1;2;1;2;;;;1;1;1;1;70;70;5.640460267238840
5325349;1;5;5;;;;;1;2;1;1;70;70;4.494348770567830
5325351;1;1;1;2;;;;1;1;2;1;70;70;6.104096874845150
5325354;1;1;3;;;1;;;;;1;70;70;10.584612992529700
5325354;1;2;3;;;1;;;;;1;70;70;10.584612992529700
5325356;1;1;1;2;;;;1;1;2;1;70;70;11.820862478023500
5325357;1;1;2;;1;;;1;3;1;1;70;70;10.614191586189000
5325361;1;1;3;;;1;;;;;1;70;70;13.146705802793100
5325363;1;2;1;2;;;;1;5;1;1;70;70;6.908862059779720
5325366;1;2;1;2;;;;1;1;2;1;70;70;12.964485072847700
5325370;1;1;1;2;;;;1;1;2;1;70;70;10.080237700794000
5325385;1;1;1;2;;;;1;3;2;1;73;73;36.211420004306800
5325391;1;1;3;;;1;;;;;1;73;73;36.211420004306800
5325392;1;2;1;2;;;;1;3;1;1;73;73;31.318609335236500
5325397;1;2;4;;;;1;;;;1;11;11;248.583775423726000
5325397;1;3;4;;;;2;1;;1;1;11;11;248.583775423726000
5325403;1;2;4;;;;1;;;;1;11;11;154.588825492164000
5325403;1;4;4;;;;2;1;;2;1;11;11;154.588825492164000
5325406;1;1;1;1;;;;1;3;2;1;41;41;10.618855192030600
5325412;1;1;1;2;;;;1;1;1;1;41;41;10.475129249388700
5325454;1;2;3;;;1;;;;;1;68;68;55.687147875570900
5325460;1;1;5;;;;;1;1;2;1;27;27;9.704704996651330
5325482;1;1;1;1;;;;1;1;1;1;66;66;18.405575688499800
5325484;1;2;1;1;;;;1;3;1;1;66;66;36.952754240747100
5325489;1;1;1;2;;;;1;1;2;1;66;66;28.171718980029300
5325499;1;1;1;1;;;;1;1;1;1;66;66;36.604876707669400
5325500;1;1;1;1;;;;1;1;2;1;66;66;26.327565153297900
5325524;1;2;1;2;;;;1;4;2;1;66;66;29.081939896347200
5325539;1;1;3;;;1;;;;;1;11;11;173.287135760957000
5325544;1;1;4;;;;1;;;;1;11;11;259.757687593399000
5325544;1;2;4;;;;1;;;;1;11;11;259.757687593399000
5325547;1;1;2;;1;;;1;1;1;1;11;11;260.023773674151000
5325553;1;2;1;2;;;;1;5;1;1;54;54;37.769539563903700
5325560;1;1;4;;;;2;1;;1;1;73;73;21.780385435578500
5325561;1;1;5;;;;;1;3;1;1;73;73;24.297557152605900
5325563;1;1;3;;;1;;;;;1;05;05;101.497546652145000
5325563;1;3;1;2;;;;1;4;2;1;05;05;101.497546652145000
5325566;1;1;5;;;;;1;1;1;1;05;05;65.864290457280900
5325566;1;3;3;;;2;;;;;1;05;05;65.864290457280900
5325568;1;1;1;1;;;;1;3;1;1;05;05;126.523299936770000
5325568;1;2;3;;;1;;;;;1;05;05;126.523299936770000
5325569;1;3;4;;;;2;1;;1;1;05;05;82.816362668071900
5325574;1;1;7;;;;;1;1;1;1;05;05;107.263953749903000
5325574;1;3;5;;;;;1;3;1;1;05;05;107.263953749903000
5325576;1;1;4;;;;2;1;;1;1;05;05;123.297608322975000
5325598;1;1;1;2;;;;1;3;1;1;54;54;36.405751349588700
5325613;1;3;1;1;;;;1;1;1;1;05;05;97.134994296008300
5325627;1;1;1;2;;;;1;4;2;1;68;68;63.219487880422100
5325633;1;1;5;;;;;1;1;1;1;52;52;30.428302642950000
5325633;1;2;1;1;;;;1;3;1;1;52;52;30.428302642950000
5325634;1;1;6;;;;;;;;1;52;52;25.101978260550700
5325636;1;1;1;1;;;;1;3;1;1;52;52;28.783295444201600
5325641;1;1;1;1;;;;1;3;1;1;19;19;11.384682759387000
5325641;1;2;1;2;;;;1;3;1;1;19;19;11.384682759387000
5325642;1;1;5;;;;;1;2;2;1;19;19;11.957834716379200
5325647;1;1;5;;;;;1;1;1;1;68;68;54.318324832825900
5325647;1;2;3;;;1;;;;;1;68;68;54.318324832825900
5325650;1;1;5;;;;;1;1;2;1;11;11;293.040572446634000
5325653;1;2;4;;;;2;1;;1;1;11;11;315.708641641396000
5325655;1;3;1;2;;;;1;1;2;1;11;11;162.894416377906000
5325657;1;1;3;;;1;;;;;1;11;11;303.770453512367000
5325659;1;2;5;;;;;1;2;1;1;11;11;303.770453512367000
5325660;1;1;2;;1;;;1;3;1;1;11;11;318.244303988209000
5325668;1;1;3;;;1;;;;;1;11;11;132.356329454319000
5325673;1;1;1;1;;;;1;1;2;1;11;11;340.087190591019000
5325674;1;2;2;;1;;;1;3;1;1;11;11;155.298917363775000
5325676;1;1;1;2;;;;1;1;2;1;11;11;276.567710861358000
5325678;1;1;1;2;;;;1;3;1;1;11;11;171.107416226752000
5325679;1;1;3;;;1;;;;;1;11;11;278.813102509614000
5325698;1;2;1;1;;;;1;1;1;1;11;11;204.837095585510000
5325698;1;3;5;;;;;1;1;1;1;11;11;204.837095585510000
5325702;1;1;3;;;1;;;;;1;11;11;248.583775423726000
5325703;1;1;1;2;;;;1;4;2;1;11;11;298.962426184830000
5325705;1;1;2;;2;;;1;1;1;1;11;11;173.553221841710000
5325707;1;1;4;;;;1;;;;1;11;11;345.447046639218000
5325725;1;2;3;;;1;;;;;1;08;08;51.142156544738600
5325728;1;1;2;;2;;;1;4;1;1;08;08;60.419314906224000
5325729;1;2;1;1;;;;1;3;1;1;08;08;55.385819308169500
5325730;1;1;2;;2;;;1;3;1;1;08;08;50.813718520264300
5325732;1;2;3;;;1;;;;;1;08;08;56.329788910526500
5325734;1;2;1;2;;;;1;1;2;1;08;08;58.592432233377500
5325736;1;1;1;2;;;;1;1;1;1;08;08;48.176953759137200
5325742;1;1;2;;1;;;1;3;1;1;08;08;60.928094662504400
5325752;1;5;1;2;;;;1;4;1;1;08;08;33.343611524221800
5325759;1;1;6;;;;;;;;1;08;08;52.254271693420700
5325762;1;2;1;2;;;;1;3;1;1;08;08;51.355886320017500
5325765;1;1;1;2;;;;1;1;1;1;08;08;72.977460824202200
5325765;2;1;2;;2;;;1;4;2;1;08;08;72.977460824202200
5325769;1;2;1;2;;;;1;4;2;1;08;08;52.713966045888600
5325772;1;2;3;;;1;;;;;1;08;08;51.789126218831300
5325774;1;4;5;;;;;1;2;1;1;08;08;45.758473210871500
5325776;1;1;4;;;;1;;;;1;08;08;50.378528674188000
5325777;1;1;3;;;1;;;;;1;08;08;60.419314906224000
5325781;1;1;3;;;1;;;;;1;08;08;59.789774549749600
